factor_name,factor_type,max_mu_star_cl,max_sigma_cl,max_mu_star_rank,max_sigma_rank,mu_star_cl_POL-001-2026,sigma_cl_POL-001-2026,mu_star_rank_POL-001-2026,sigma_rank_POL-001-2026,mu_star_cl_POL-002-2026,sigma_cl_POL-002-2026,mu_star_rank_POL-002-2026,sigma_rank_POL-002-2026,mu_star_cl_POL-007-2026,sigma_cl_POL-007-2026,mu_star_rank_POL-007-2026,sigma_rank_POL-007-2026,mu_star_cl_POL-005-2026,sigma_cl_POL-005-2026,mu_star_rank_POL-005-2026,sigma_rank_POL-005-2026,mu_star_cl_POL-006-2026,sigma_cl_POL-006-2026,mu_star_rank_POL-006-2026,sigma_rank_POL-006-2026
score_POL-001-2026_s_HSP,score,0.16459616941877647,0.06988357644400357,1.95,1.4230249470757708,0.16459616941877647,0.05837495227958079,1.95,1.4230249470757708,0.022911412759166992,0.036487925493651686,0.75,0.7905694150420949,0.01686366330920369,0.022246879878493775,0.15,0.47434164902525694,0.026641861339410357,0.03511809956787901,0.75,0.7905694150420949,0.04591747351197688,0.06988357644400357,0.3,0.6324555320336759
score_POL-001-2026_s_chi,score,0.03061348638206317,0.028868579049449044,0.3,0.6324555320336759,0.03061348638206317,0.028868579049449044,0.3,0.6324555320336759,0.013737154831173682,0.015833272247377787,0.0,0.0,0.010311327144507105,0.012719378133637532,0.15,0.47434164902525694,0.024408212493596298,0.02377419348551338,0.3,0.6324555320336759,0.019989911825943216,0.02709423286659052,0.15,0.47434164902525694
score_POL-001-2026_s_desc,score,0.06662419721224264,0.04348555513744255,0.75,0.7905694150420949,0.06662419721224264,0.03245005851831356,0.75,0.7905694150420949,0.00893347332229004,0.013213997313259332,0.45,0.724568837309472,0.010048838662211807,0.013537637309411139,0.0,0.0,0.016352442077828423,0.022846013188386693,0.15,0.47434164902525694,0.029902728121000994,0.04348555513744255,0.15,0.47434164902525694
score_POL-001-2026_s_GT,score,0.029459862553641934,0.0482555377855042,0.15,0.47434164902525694,0.009921801616380796,0.011235657601919137,0.15,0.47434164902525694,0.014203149555534594,0.018940529214421693,0.15,0.47434164902525694,0.018565516767829714,0.0237074070600352,0.0,0.0,0.008127975587273559,0.007830959262020116,0.0,0.0,0.029459862553641934,0.0482555377855042,0.0,0.0
score_POL-002-2026_s_HSP,score,0.21633665018755197,0.1196503955411742,1.65,1.4916433890176297,0.06481379805616086,0.09625095113296081,0.6,0.9486832980505138,0.21633665018755197,0.1196503955411742,1.65,1.4916433890176297,0.036495796282796394,0.06064575859174223,0.75,0.7905694150420949,0.03411917578625414,0.05256218523515216,0.45,1.0124228365658294,0.08242927025082938,0.10829657419809069,0.15,0.47434164902525694
score_POL-002-2026_s_chi,score,0.05883423906903584,0.04604717793256547,0.45,0.724568837309472,0.029955296493726784,0.04604717793256547,0.3,0.6324555320336759,0.05883423906903584,0.0334253629377889,0.45,0.724568837309472,0.007563006610053024,0.008329336849031171,0.15,0.47434164902525694,0.01228956084655099,0.015536982094369078,0.0,0.0,0.026906539451660678,0.04078163947735058,0.0,0.0
score_POL-002-2026_s_desc,score,0.09253163775141045,0.15651656467139669,0.9,1.0488088481701516,0.04151328527098134,0.07561312369192012,0.3,0.6324555320336759,0.09253163775141045,0.0654924210748118,0.9,1.0488088481701516,0.025195528600452183,0.0441857567772375,0.15,0.47434164902525694,0.02274002830156397,0.02321870545594081,0.45,0.7245688373094719,0.08037590328798691,0.15651656467139669,0.0,0.0
score_POL-002-2026_s_GT,score,0.02890057483431674,0.05322174610818172,0.3,0.9486832980505139,0.02230817153206944,0.030010775859359216,0.15,0.47434164902525694,0.02890057483431674,0.05322174610818172,0.15,0.47434164902525694,0.010573563451338457,0.016264999464309593,0.0,0.0,0.024174234446514963,0.044465495696231115,0.0,0.0,0.028443624031842994,0.048805939181350205,0.3,0.9486832980505139
score_POL-007-2026_s_HSP,score,0.050201445545022635,0.04695399195941913,0.75,1.4577379737113252,0.029220198709153565,0.03379057501187243,0.45,0.8514693182963201,0.026610330429880823,0.03139833524860384,0.45,0.7245688373094719,0.050201445545022635,0.04695399195941913,0.75,1.4577379737113252,0.015846396247366196,0.02065904042738533,0.3,0.6324555320336759,0.029324484214708298,0.03738916522555717,0.15,0.47434164902525694
score_POL-007-2026_s_chi,score,0.028921546117706327,0.06088912238919572,0.0,0.0,0.024414674608882758,0.03164679169024165,0.0,0.0,0.016064084827327685,0.033367425330178356,0.0,0.0,0.028921546117706327,0.06088912238919572,0.0,0.0,0.01894998842212656,0.02029125106181684,0.0,0.0,0.021154459294229027,0.021782851535983725,0.0,0.0
