factor_name,factor_type,max_mu_star_cl,max_sigma_cl,max_mu_star_rank,max_sigma_rank,mu_star_cl_POL-001-2026,sigma_cl_POL-001-2026,mu_star_rank_POL-001-2026,sigma_rank_POL-001-2026,mu_star_cl_POL-002-2026,sigma_cl_POL-002-2026,mu_star_rank_POL-002-2026,sigma_rank_POL-002-2026,mu_star_cl_POL-007-2026,sigma_cl_POL-007-2026,mu_star_rank_POL-007-2026,sigma_rank_POL-007-2026,mu_star_cl_POL-005-2026,sigma_cl_POL-005-2026,mu_star_rank_POL-005-2026,sigma_rank_POL-005-2026,mu_star_cl_POL-006-2026,sigma_cl_POL-006-2026,mu_star_rank_POL-006-2026,sigma_rank_POL-006-2026
score_POL-001-2026_s_HSP,score,0.09317581972936421,0.06827061757792349,0.75,1.106797181058933,0.09317581972936421,0.06827061757792349,0.75,1.0606601717798212,0.042433512434350104,0.06039253831176303,0.45,0.8514693182963201,0.030568910486905132,0.048302587286103704,0.0,0.0,0.031200665683205658,0.03931368233399233,0.75,1.0124228365658294,0.02656149263424909,0.033666011835643495,0.75,1.106797181058933
score_POL-001-2026_s_chi,score,0.03716040957843689,0.04089302409216723,0.3,0.6324555320336759,0.03716040957843689,0.04089302409216723,0.15,0.47434164902525694,0.02782090637933844,0.02625669896001664,0.15,0.47434164902525694,0.02267236046348535,0.024829785571422958,0.0,0.0,0.022023011069248876,0.036521736172665485,0.3,0.6324555320336759,0.017351406512561156,0.02032332363519294,0.3,0.6324555320336759
score_POL-001-2026_s_desc,score,0.12197950407314695,0.07052108828212232,1.65,1.4916433890176297,0.12197950407314695,0.0541675793889289,1.65,1.4916433890176297,0.03990859803157072,0.05895781893583962,0.3,0.6324555320336759,0.025488428832613562,0.036498137961380045,0.0,0.0,0.04860511831448024,0.07052108828212232,0.75,1.0606601717798212,0.03647586872543172,0.041447782218482034,0.9,1.0488088481701516
score_POL-001-2026_s_GT,score,0.012459858293701682,0.013572814204720098,0.45,0.724568837309472,0.012031456620912645,0.013572814204720098,0.15,0.47434164902525694,0.009289286983763832,0.008719251947917764,0.0,0.0,0.005594837643030806,0.005353735553985271,0.0,0.0,0.012459858293701682,0.01134482804800138,0.3,0.6324555320336759,0.004498383500771988,0.006276760239379405,0.45,0.724568837309472
score_POL-002-2026_s_HSP,score,0.13447025370072144,0.07918700187543914,1.5,1.7320508075688772,0.012747798513342673,0.018231148652781963,0.3,0.6324555320336759,0.13447025370072144,0.07918700187543914,1.5,1.7320508075688772,0.027963151229283324,0.03621393921272733,0.0,0.0,0.037100457839701964,0.06188731316874076,0.6,1.0488088481701516,0.024068503967375515,0.036840048275130294,0.9,1.2649110640673518
score_POL-002-2026_s_chi,score,0.04998917235419102,0.05615949062790661,0.15,0.47434164902525694,0.011718191983321585,0.017946857329219787,0.0,0.0,0.04998917235419102,0.05615949062790661,0.0,0.0,0.013315495296770796,0.016171551117202136,0.0,0.0,0.016549778188691307,0.022820520917258048,0.15,0.47434164902525694,0.006389904779863021,0.008584150804746218,0.15,0.47434164902525694
score_POL-002-2026_s_desc,score,0.12899825706708365,0.09805116389588059,1.05,1.2349089035228469,0.03356089124820606,0.04260923780752792,0.75,1.106797181058933,0.12899825706708365,0.09805116389588059,1.05,1.2349089035228469,0.04267320438794361,0.05698063230255346,0.0,0.0,0.041673261273280006,0.06352148447565038,0.6,0.9486832980505138,0.031658378356532055,0.03506304291533196,0.9,0.7745966692414834
score_POL-002-2026_s_GT,score,0.02339756105952092,0.040400644210179505,0.15,0.47434164902525694,0.008434337469959325,0.013340125753289151,0.0,0.0,0.02339756105952092,0.040400644210179505,0.15,0.47434164902525694,0.008968314869773045,0.01705312047962059,0.0,0.0,0.012845053208746977,0.017624895125163336,0.15,0.47434164902525694,0.007175227173481286,0.012393788249268234,0.0,0.0
score_POL-007-2026_s_HSP,score,0.1428177645416588,0.05338944155834066,0.45,0.85146931829632,0.05292321857641017,0.030627619393733818,0.15,0.47434164902525694,0.10370850294059468,0.05338944155834066,0.3,0.6324555320336759,0.1428177645416588,0.04177474823975394,0.0,0.0,0.07241453889417411,0.030894758069337582,0.45,0.85146931829632,0.06800046674618174,0.025636117626324614,0.3,0.7071067811865476
score_POL-007-2026_s_chi,score,0.013276927080417611,0.016526350021174745,0.15,0.47434164902525694,0.004908397234155881,0.006064844930698447,0.0,0.0,0.01063734912225144,0.016526350021174745,0.15,0.47434164902525694,0.013276927080417611,0.013268967270974876,0.0,0.0,0.00944973464434321,0.008585829310862318,0.0,0.0,0.0073971055508235215,0.005589886624372062,0.15,0.47434164902525694
score_POL-007-2026_s_desc,score,0.09290790617735395,0.08745913418151736,0.6,1.1832159566199232,0.06100590214434687,0.05673648189655102,0.15,0.47434164902525694,0.03632580322535395,0.046353280985722556,0.45,1.106797181058933,0.09290790617735395,0.07785471293428083,0.45,1.0124228365658294,0.05824832110641774,0.08248344730202577,0.6,1.1832159566199232,0.06890050731953071,0.08745913418151736,0.45,1.106797181058933
score_POL-007-2026_s_GT,score,0.016415735383507653,0.03547920750881814,0.3,0.6324555320336759,0.005951419751389497,0.010673092931086786,0.15,0.47434164902525694,0.016415735383507653,0.03547920750881814,0.15,0.47434164902525694,0.01353277614597571,0.016154669607496158,0.0,0.0,0.01289569833845913,0.019732962245060316,0.3,0.6324555320336759,0.007088498801226128,0.014485915206317925,0.0,0.0
score_POL-005-2026_s_HSP,score,0.10614054656414865,0.16828281037683845,1.05,1.0488088481701514,0.04755311381179167,0.06467577582982566,0.6,0.9486832980505138,0.06320569183780916,0.09286823251182996,0.6,1.0,0.08403891914359142,0.16828281037683845,0.15,0.47434164902525694,0.10614054656414865,0.07672325464296016,1.05,1.0124228365658292,0.04260740577957193,0.057569594146055676,0.6,1.0488088481701514
score_POL-005-2026_s_chi,score,0.02278834081011464,0.02077702449795938,0.3,0.6324555320336759,0.005624475535156825,0.008493383902015648,0.15,0.47434164902525694,0.008849782719149596,0.011424766931887284,0.0,0.0,0.00885183933042411,0.009532541397603797,0.0,0.0,0.02278834081011464,0.02077702449795938,0.3,0.6324555320336759,0.01591576294822988,0.017197989079623274,0.15,0.47434164902525694
