polymer_id,abbreviation,retained_k,n_replicates,mean,median,sd,iqr
POL-001-2026,PVP_K30,2,4356,0.4065934616747086,0.40920833397394074,0.04558408951372454,0.05485178671406582
POL-001-2026,PVP_K30,3,4218,0.483714068574978,0.48544354016905633,0.0384756611556743,0.04977328223556576
POL-001-2026,PVP_K30,4,5,0.5203251655338655,0.519591428262757,0.012200911297520876,0.01665376133356833
POL-002-2026,PVP_VA_64,2,4356,0.41362386681636915,0.41779146426997626,0.05576835054821655,0.06959235092714089
POL-002-2026,PVP_VA_64,3,4218,0.5139851659394822,0.5191724385568652,0.04991990844079048,0.060339350428082084
POL-002-2026,PVP_VA_64,4,5,0.49513184050299575,0.4918228925514153,0.034699451997536296,0.05365762770809174
POL-007-2026,EDR_EPO,2,4356,0.5499305906491349,0.5541506799514047,0.05168782462996907,0.06487558400042037
POL-007-2026,EDR_EPO,3,4218,0.5987073529671101,0.6048979695370189,0.04500280054839846,0.05716534804484652
POL-007-2026,EDR_EPO,4,5,0.611665929314776,0.6032264401727365,0.024735318752330548,0.021296307147064097
POL-005-2026,SOLUPLUS,2,4356,0.40233753906292247,0.4015846069442053,0.03950363569847033,0.05215095556786564
POL-005-2026,SOLUPLUS,3,4218,0.4496531988297238,0.44948233455239195,0.0333664548412232,0.04348632316860568
POL-005-2026,SOLUPLUS,4,5,0.4727374594510415,0.46918164589383055,0.04642175742780278,0.01343845280788325
POL-006-2026,HPMC_E5,2,4356,0.25032627365558635,0.25250407827885524,0.05760392544003105,0.07100796580658658
POL-006-2026,HPMC_E5,3,4218,0.3906904448685972,0.39460091958316434,0.05112350990548086,0.058867275248509376
POL-006-2026,HPMC_E5,4,5,0.4376184525709966,0.43546237805473076,0.027316401667562613,0.026266997468664732
