polymer_id,abbreviation,retained_k,n_replicates,mean,median,sd,iqr
POL-001-2026,PVP_K30,2,200,0.5750588940709931,0.5725951945631041,0.1191137825008858,0.14954971597781141
POL-001-2026,PVP_K30,3,7760,0.5750968296233808,0.5772866328895845,0.05840671391686623,0.07395501602342702
POL-001-2026,PVP_K30,4,644,0.6259324976205187,0.6311747567440159,0.059113523398878785,0.07728638424300849
POL-002-2026,PVP_VA_64,2,200,0.613378854012159,0.6087407954855335,0.123038917392407,0.15759398932230706
POL-002-2026,PVP_VA_64,3,7760,0.5928788576996984,0.5956656249777025,0.05854094168884232,0.07357938866013258
POL-002-2026,PVP_VA_64,4,644,0.6220128608144324,0.6222460532281451,0.060423971402085365,0.07711967484174775
POL-007-2026,EDR_EPO,2,200,0.5397596796755431,0.5509592267470313,0.11486107053323837,0.12983723879359493
POL-007-2026,EDR_EPO,3,7760,0.5356447481700689,0.5347207810754826,0.05634992055755905,0.06989209229161636
POL-007-2026,EDR_EPO,4,644,0.5964659585574006,0.597714590006182,0.05995800787736514,0.08438395060133674
POL-005-2026,SOLUPLUS,2,200,0.661224512341817,0.6707145433330304,0.12500376807761468,0.158786631591886
POL-005-2026,SOLUPLUS,3,7760,0.6695171228483615,0.6767147403164776,0.05994669142907784,0.07393609285680192
POL-005-2026,SOLUPLUS,4,644,0.6888255106216649,0.6955982848034872,0.05099174732020758,0.061786063519328915
POL-006-2026,HPMC_E5,2,200,0.6203160127068417,0.6313047819446663,0.11364902316512875,0.12673965610737747
POL-006-2026,HPMC_E5,3,7760,0.6619002497164703,0.6696305241366304,0.05524890443484403,0.06499415278757625
POL-006-2026,HPMC_E5,4,644,0.6793656602873608,0.6858907388809244,0.0499956658313036,0.059077900509946324
